Mods count: 155
 
jar name                                                                        | mod id (isMCreator)                      | mixin configs
silent-gear-1.21.1-neoforge-4.0.29.jar                                          | silentgear                               | silentgear.mixins.json
silent-lib-1.21.1-neoforge-10.5.1.jar                                           | silentlib                                | 
silentgems-1.21.1-neoforge-5.1.2.1.jar                                          | silentgems                               | 
simple_weather-1.0.13.jar                                                       | simple_weather                           | simple_weather.mixins.json
SimpleBackups-1.21-4.0.21.jar                                                   | simplebackups                            | 
sodium-neoforge-0.6.13+mc1.21.1.jar                                             | sodium                                   | sodium-neoforge.mixins.json, sodium-common.mixins.json
    /META-INF/jarjar/fabric-api-base-0.4.42+d1308ded19.jar                      | fabric_api_base                          | 
    /META-INF/jarjar/fabric-rendering-data-attachment-v1-0.3.48+73761d2e19.jar  | fabric_rendering_data_attachment_v1      | fabric-rendering-data-attachment-v1.client.mixins.json, fabric-rendering-data-attachment-v1.mixins.json
    /META-INF/jarjar/fabric-renderer-api-v1-3.4.0+9c40919e19.jar                | fabric_renderer_api_v1                   | fabric-renderer-api-v1.debughud.mixins.json, fabric-renderer-api-v1.mixins.json
    /META-INF/jarjar/fabric-block-view-api-v2-1.0.10+9afaaf8c19.jar             | fabric_block_view_api_v2                 | fabric-block-view-api-v2.client.mixins.json, fabric-block-view-api-v2.mixins.json
    /META-INF/jarjar/net.caffeinemc.sodium-neoforge-0.6.13+mc1.21.1-service.jar |                                          | 
spark-1.10.124-neoforge.jar                                                     | spark                                    | 
storagedelight-25.06.24-1.21-neoforge.jar                                       | storagedelight                           | 
structurize-1.0.790-1.21.1-snapshot.jar                                         | structurize                              | 
supermartijn642configlib-1.1.8-neoforge-mc1.21.jar                              | supermartijn642configlib                 | 
supermartijn642corelib-1.1.18a-neoforge-mc1.21.jar                              | supermartijn642corelib                   | supermartijn642corelib.mixins.json
supplementaries-1.21-3.4.20-neoforge.jar                                        | supplementaries                          | supplementaries-common.mixins.json, supplementaries.mixins.json
TerraBlender-neoforge-1.21.1-4.1.0.8.jar                                        | terrablender                             | terrablender_neoforge.mixins.json, terrablender.mixins.json
tiab-neoforge-6.5.0.jar                                                         | tiab                                     | 
ToastControl-1.21.1-9.0.1.jar                                                   | toastcontrol                             | toastcontrol.mixins.json
towntalk-1.2.0.jar                                                              | towntalk                                 | 
trashcans-1.0.18c-neoforge-mc1.21.jar                                           | trashcans                                | trashcans.mixins.json
universalgrid-neoforge-1.21.1-0.2.3.jar                                         | universalgrid                            | universalgrid.mixins.json
valhelsia_core-neoforge-1.21.1-1.1.5.jar                                        | valhelsia_core                           | valhelsia_core-common.mixins.json, valhelsia_core.mixins.json
